id,type,name,x,y,delivery_area,priority,max_capacity,current_load
WH_1,Warehouse,Zarqa Warehouse 1,32.079823,36.068908,,,1000,796
WH_2,Warehouse,Salt Warehouse 2,31.951735,36.048371,,,200,9
DP_3,DeliveryPoint,Abu Nsair Delivery 3,32.075835,35.962571,Abu Nsair,Medium,,
LOC_4,General,Rabia Location 4,32.013379,35.90249,,,,
WH_5,Warehouse,Jerash Warehouse 5,32.043166,35.834545,,,200,191
DP_6,DeliveryPoint,Abdali Delivery 6,32.084891,35.95711,Abdali,High,,
DP_7,DeliveryPoint,Um Uthaina Delivery 7,32.036652,36.093744,Um Uthaina,Low,,
DP_8,DeliveryPoint,Airport Road Delivery 8,31.937185,35.992911,Airport Road,Low,,
DP_9,DeliveryPoint,Karak Delivery 9,32.06612,35.970787,Karak,Medium,,
WH_10,Warehouse,Khalda Warehouse 10,32.072118,36.007039,,,1000,18
LOC_11,General,Abdali Location 11,31.925846,35.816643,,,,
LOC_12,General,Abdali Location 12,32.009875,35.982462,,,,
WH_13,Warehouse,Sweileh Warehouse 13,31.982963,36.085621,,,500,234
WH_14,Warehouse,Abu Nsair Warehouse 14,31.966666,36.047023,,,500,423
WH_15,Warehouse,Fuheis Warehouse 15,31.966723,36.002598,,,1000,850
DP_16,DeliveryPoint,Mafraq Delivery 16,32.073614,36.015496,Mafraq,Medium,,
WH_17,Warehouse,Zarqa Warehouse 17,31.867194,36.087517,,,1000,833
LOC_18,General,Um Uthaina Location 18,31.992819,35.863302,,,,
WH_19,Warehouse,Yajouz Warehouse 19,31.871877,35.940713,,,500,144
DP_20,DeliveryPoint,Amman Delivery 20,31.996568,35.858662,Amman,Low,,
LOC_21,General,Wehdat Location 21,31.891013,36.029467,,,,
DP_22,DeliveryPoint,Irbid Delivery 22,31.91117,35.980564,Irbid,Low,,
LOC_23,General,Zarqa Location 23,31.92615,35.906261,,,,
DP_24,DeliveryPoint,Yajouz Delivery 24,32.092999,36.005109,Yajouz,Medium,,
WH_25,Warehouse,Jabal Hussein Warehouse 25,32.086359,35.817507,,,500,404
DP_26,DeliveryPoint,Madaba Delivery 26,31.907003,36.07182,Madaba,Medium,,
WH_27,Warehouse,Dabouq Warehouse 27,32.098086,35.967071,,,100,55
LOC_28,General,Tafilah Location 28,32.08857,36.09914,,,,
WH_29,Warehouse,Yajouz Warehouse 29,32.066722,36.07327,,,1000,701
DP_30,DeliveryPoint,Hashmi Shamali Delivery 30,31.979426,35.980717,Hashmi Shamali,High,,
LOC_31,General,Mafraq Location 31,32.027138,35.926973,,,,
DP_32,DeliveryPoint,Ajloun Delivery 32,32.040399,35.825702,Ajloun,Medium,,
LOC_33,General,Deir Ghbar Location 33,31.929893,35.995394,,,,
LOC_34,General,Abu Nsair Location 34,31.89829,35.961051,,,,
DP_35,DeliveryPoint,Jabal Amman Delivery 35,32.014767,35.821572,Jabal Amman,Medium,,
LOC_36,General,Rabia Location 36,32.098548,35.826078,,,,
WH_37,Warehouse,Amman Warehouse 37,32.026032,36.091902,,,200,59
DP_38,DeliveryPoint,Karak Delivery 38,32.012651,35.940251,Karak,Low,,
